11171, 2024-03-05, "Cold", 98, "Murder mystery chiller unfolds across two time periods as a man and his daughter try to come to terms with a suicide while he investigates historic deaths at a juvenile centre.  There’s a whisper of the supernatural running through this mystery chiller from Iceland, which gradually reveals its sinister secrets across two time periods. Ódinn (Jóhannes Haukur Jóhannesson) and his daughter Rún (Jóhannesson’s daughter in real-life Ólöf Halla Jóhannesdóttir, making an impressive debut) are struggling to come to terms with her mother’s suicide. As Ódinn starts to investigate historic deaths at a juvenile centre, director Erlingur Thoroddsen transports us back to see events unfold between the sadistic centre owners, their employee Aldís (Elín Hall) and their young charges. Soon Ódinn begins to suspect the past may be connected to the present.  Icelandic with English subtitles.", "Jóhannes Haukur Jóhannesson, Elín Hall, Selma Björnsdóttir", "Thriller", "N/C 15+", "Animal Death, Mild physical violence, Blood, Suicide"
11171, 2024-03-06, "Cold", 98, "Murder mystery chiller unfolds across two time periods as a man and his daughter try to come to terms with a suicide while he investigates historic deaths at a juvenile centre.  There’s a whisper of the supernatural running through this mystery chiller from Iceland, which gradually reveals its sinister secrets across two time periods. Ódinn (Jóhannes Haukur Jóhannesson) and his daughter Rún (Jóhannesson’s daughter in real-life Ólöf Halla Jóhannesdóttir, making an impressive debut) are struggling to come to terms with her mother’s suicide. As Ódinn starts to investigate historic deaths at a juvenile centre, director Erlingur Thoroddsen transports us back to see events unfold between the sadistic centre owners, their employee Aldís (Elín Hall) and their young charges. Soon Ódinn begins to suspect the past may be connected to the present.  Icelandic with English subtitles.", "Jóhannes Haukur Jóhannesson, Elín Hall, Selma Björnsdóttir", "Thriller", "N/C 15+", "Animal Death, Mild physical violence, Blood, Suicide"
11180, 2024-03-05, "Green Border", 147, "Director Agnieszka Holland won a Special Jury Prize at Venice for this hard-hitting drama considering the plight of refugees who are shunted back and forth across the no man’s land between Poland and Belarus.  Polish director Agnieszka Holland won a Special Jury Prize at Venice Film Festival for this thought-provoking examination of the European refugee crisis. Her drama explores the plight of those who seek sanctuary in Europe and are shunted back and forth across the no-man’s land forests between Poland and Belarus. Unfolding from the point of view of a Syrian family and an Afghan (Behi Djanati Atai), a conflicted border guard (Tomasz Wlosok) and a psychologist (Maja Ostaszewska) who becomes an activist, Holland has crafted a tough but vital piece of cinema that condemns the West’s indifference and calls for empathy for the refugees’ predicament.                                                                                                                                                                                        Polish, Arabic, English and French with English subtitles", "Maciej Pisuk, Gabriela Lazarkiewicz, Agnieszka Holland", "Drama", "N/C 15+", "Violence, Strong Language, Racism / discrimination / slurs"
11180, 2024-03-06, "Green Border", 147, "Director Agnieszka Holland won a Special Jury Prize at Venice for this hard-hitting drama considering the plight of refugees who are shunted back and forth across the no man’s land between Poland and Belarus.  Polish director Agnieszka Holland won a Special Jury Prize at Venice Film Festival for this thought-provoking examination of the European refugee crisis. Her drama explores the plight of those who seek sanctuary in Europe and are shunted back and forth across the no-man’s land forests between Poland and Belarus. Unfolding from the point of view of a Syrian family and an Afghan (Behi Djanati Atai), a conflicted border guard (Tomasz Wlosok) and a psychologist (Maja Ostaszewska) who becomes an activist, Holland has crafted a tough but vital piece of cinema that condemns the West’s indifference and calls for empathy for the refugees’ predicament.                                                                                                                                                                                        Polish, Arabic, English and French with English subtitles", "Maciej Pisuk, Gabriela Lazarkiewicz, Agnieszka Holland", "Drama", "N/C 15+", "Violence, Strong Language, Racism / discrimination / slurs"
11181, 2024-03-05, "High and Low: John Galliano", 116, "The life and career of the famous fashion designer - including his antisemitic fall from grace and subsequent attempt at redemption - is captured in Oscar-winner Kevin Macdonald's forthright and absorbing documentary.  The talented but controversial fashion designer steps into the spotlight to tell his own story in this eye-opening documentary. It takes us from Galliano’s difficult childhood in East London to show his rise through the haute couture ranks via Givenchy to become the head of Dior. Away from the fashion world, his battle with drug and alcohol addiction and the antisemitic rants that led to a fall from grace are also laid bare. Glasgow-born Oscar-winner Kevin Macdonald (Whitney) explores the man and his contradictions as Galliano confronts his own demons and tries to reconcile what he has done with himself.                                                                                                             English and French with English subtitles.", "Penélope Cruz, Kate Moss, Naomi Campbell", "Documentary", "N/C 15+", "Drug Use, Graphic nudity, Racism / discrimination / slurs"
11181, 2024-03-06, "High and Low: John Galliano", 116, "The life and career of the famous fashion designer - including his antisemitic fall from grace and subsequent attempt at redemption - is captured in Oscar-winner Kevin Macdonald's forthright and absorbing documentary.  The talented but controversial fashion designer steps into the spotlight to tell his own story in this eye-opening documentary. It takes us from Galliano’s difficult childhood in East London to show his rise through the haute couture ranks via Givenchy to become the head of Dior. Away from the fashion world, his battle with drug and alcohol addiction and the antisemitic rants that led to a fall from grace are also laid bare. Glasgow-born Oscar-winner Kevin Macdonald (Whitney) explores the man and his contradictions as Galliano confronts his own demons and tries to reconcile what he has done with himself.                                                                                                             English and French with English subtitles.", "Penélope Cruz, Kate Moss, Naomi Campbell", "Documentary", "N/C 15+", "Drug Use, Graphic nudity, Racism / discrimination / slurs"
11192, 2024-03-05, "Made in England: The Films of Powell & Pressburger", 129, "Directing great, Martin Scorsese, offers a personal consideration of the work and influence of Michael Powell and Emeric Pressburger, who made classics including The Red Shoes and A Matter of Life and Death.  Directing great, Martin Scorsese, offers an intimate and personal consideration of the work and influence of fellow filmmakers Michael Powell and Emeric Pressburger. Responsible for classics including The Red Shoes, A Matter of Life and Death, The Life and Death of Colonel Blimp and Black Narcissus, the filmmaking duo left an indelible mark on the world of cinema. They also had a formative influence on the Killers of The Flower Moon director from an early age and in David Hinton’s documentary, he reflects on how they not only shaped his own filmmaking but on a later friendship he developed with Powell. ", "Martin Scorsese, Michael Powell, Emeric Pressburger ", "Documentary ", "N/C 15+", ""
11192, 2024-03-06, "Made in England: The Films of Powell & Pressburger", 129, "Directing great, Martin Scorsese, offers a personal consideration of the work and influence of Michael Powell and Emeric Pressburger, who made classics including The Red Shoes and A Matter of Life and Death.  Directing great, Martin Scorsese, offers an intimate and personal consideration of the work and influence of fellow filmmakers Michael Powell and Emeric Pressburger. Responsible for classics including The Red Shoes, A Matter of Life and Death, The Life and Death of Colonel Blimp and Black Narcissus, the filmmaking duo left an indelible mark on the world of cinema. They also had a formative influence on the Killers of The Flower Moon director from an early age and in David Hinton’s documentary, he reflects on how they not only shaped his own filmmaking but on a later friendship he developed with Powell. ", "Martin Scorsese, Michael Powell, Emeric Pressburger ", "Documentary ", "N/C 15+", ""
11213, 2024-03-05, "Tentigo", 103, "Their father’s death brings problems for two brothers after they discover an intimate part of his anatomy didn’t lie down and die when he did. An irreverent comedy with social bite.   Rigor mortis becomes rigor mortifying for two brothers (Priyantha Sirikumara and Thusitha Laknath) after they discover an intimate part of their father’s anatomy didn’t lie down and die when he did. Ilango Ram’s irreverent and hilarious comedy follows the pair and their family as they become increasingly desperate to lay the offending article to rest so they can host the funeral without attracting local gossip. Ram’s film comes equipped with the visual humour you might expect but also casts a satiric eye on the complexities of family life and the social situation in Sri Lanka more generally.  Sinhala with English subtitles.", "Kaushalya Fernando, Priyantha Sirikumara, Thusitha Laknath", "Comedy", "N/C 15+", "Strong Language, Mild physical violence, Mild sexual references"
11213, 2024-03-06, "Tentigo", 103, "Their father’s death brings problems for two brothers after they discover an intimate part of his anatomy didn’t lie down and die when he did. An irreverent comedy with social bite.   Rigor mortis becomes rigor mortifying for two brothers (Priyantha Sirikumara and Thusitha Laknath) after they discover an intimate part of their father’s anatomy didn’t lie down and die when he did. Ilango Ram’s irreverent and hilarious comedy follows the pair and their family as they become increasingly desperate to lay the offending article to rest so they can host the funeral without attracting local gossip. Ram’s film comes equipped with the visual humour you might expect but also casts a satiric eye on the complexities of family life and the social situation in Sri Lanka more generally.  Sinhala with English subtitles.", "Kaushalya Fernando, Priyantha Sirikumara, Thusitha Laknath", "Comedy", "N/C 15+", "Strong Language, Mild physical violence, Mild sexual references"
11218, 2024-03-05, "The Old Man and the Land", 93, "This moving drama follows  an old man working alone to maintain his ancestral farmland, as his children prove to be at once remote and controlling.  Nicholas Parish's moving and inventive debut, written by Nico Mensinga, contrasts the work of an elderly man (Roger Marten) on the land his family have farmed for generations with tense calls from his grown up children about the future of the farm. We never hear the father speak but instead listen to messages left to him by his son David (Rory Kinnear, Quantum of Solace) and daughter Laura (Emily Beecham, Daphne) and conversations between them. Laura has followed in her father's footsteps, calling him from a farm she is running in Spain, while David's life has been considerably less successful. A drama built on careful emotional counterpoint.", "Rory Kinnear, Emily Beecham, Roger Marten ", "Drama", "N/C 15+", "Animal Death, Strong Language"
11218, 2024-03-06, "The Old Man and the Land", 93, "This moving drama follows  an old man working alone to maintain his ancestral farmland, as his children prove to be at once remote and controlling.  Nicholas Parish's moving and inventive debut, written by Nico Mensinga, contrasts the work of an elderly man (Roger Marten) on the land his family have farmed for generations with tense calls from his grown up children about the future of the farm. We never hear the father speak but instead listen to messages left to him by his son David (Rory Kinnear, Quantum of Solace) and daughter Laura (Emily Beecham, Daphne) and conversations between them. Laura has followed in her father's footsteps, calling him from a farm she is running in Spain, while David's life has been considerably less successful. A drama built on careful emotional counterpoint.", "Rory Kinnear, Emily Beecham, Roger Marten ", "Drama", "N/C 15+", "Animal Death, Strong Language"
11233, 2024-03-05, "Young Frankenstein", 106, "PLEASE NOTE: this performance is free entry but tickets will only be issued from the Box Office on the day of the screening.  Mel Brooks’s gag-a-minute Universal horror spoof stars Gene Wilder as Frankenstein’s grandson, who is trying to escape his grandfather’s legacy with hilarious support from Madeline Kahn, Marty Feldman and Teri Garr.  Mary Shelley’s classic has never been so funny or irreverent as in Mel Brooks’s charming Universal horror spoof. Gene Wilder plays the grandson of Dr Victor Frankenstein, trying to escape the scientist’s legacy after he inherits the Transylvanian estate, not least by insisting his name is pronounced “Fronkensteen”. Things, however, don’t go to plan and a monster (Peter Boyle) with a zip in his neck is soon Puttin’ on the Ritz. Wilder, who co-wrote the script with Brooks, brings a maniacal glee to the central role, while Madeline Kahn, Marty Feldman, Cloris Leachman and Teri Garr all offer hilarious support.  Thanks to Park Circus  English and German with English subtitles", "Gene Wilder, Madeline Kahn, Marty Feldman", "Comedy", "12A", "Mild sexual references"
11129, 2024-03-06, "The Home Game", 79, "The real story of how a plucky village football team became determined to play a home game in Iceland’s FA Cup is a celebration of team spirit for underdogs everywhere.  In 1994 one man in the Icelandic village of Hellissandur (population: 369) had a dream to build a football pitch and play a home game in the country’s FA Cup. He managed his first objective, but the side drew an away game and fell to a 10-0 defeat. Fast-forward to 2020 and his son takes up the gauntlet, inviting players of all ages, abilities and genders to train for Reynir FC with the same FA Cup goal in mind. Smari Gunn and Logi Sigursveinsson’s documentary follows their journey in an uplifting celebration of team and community spirit for underdogs everywhere.                                        Icelandic and English with English subtitles.", "Freydís Bjarnadóttir, Viðar Gylfason, Kári Viðars", "Documentary", "N/C 15+", ""
11129, 2024-03-07, "The Home Game", 79, "The real story of how a plucky village football team became determined to play a home game in Iceland’s FA Cup is a celebration of team spirit for underdogs everywhere.  In 1994 one man in the Icelandic village of Hellissandur (population: 369) had a dream to build a football pitch and play a home game in the country’s FA Cup. He managed his first objective, but the side drew an away game and fell to a 10-0 defeat. Fast-forward to 2020 and his son takes up the gauntlet, inviting players of all ages, abilities and genders to train for Reynir FC with the same FA Cup goal in mind. Smari Gunn and Logi Sigursveinsson’s documentary follows their journey in an uplifting celebration of team and community spirit for underdogs everywhere.                                        Icelandic and English with English subtitles.", "Freydís Bjarnadóttir, Viðar Gylfason, Kári Viðars", "Documentary", "N/C 15+", ""
11156, 2024-03-06, "Happy Together", 96, "Regarded as one of the best LGBT films in the New Queer Cinema movement, this is a rare opportunity to see Wong Kar wai’s empathetic and lonely love story on screen.  Ho Po-Wing and Lai Yiu-Fai, a gay couple from Hong Kong, are visiting Argentina together. Their relationship is one of tug and war, marked by frequent uncouplings and occasional bursts of violence. Finally, one of their splits becomes permanent, but with no money Fai is unable to leave the city. He gets a job at a bar, only seeing Po-Wing from a distance until an almost-fatal incident forces the two together one final time. Wong Kar-wai wraps us up in the rich and fragile coloured world of Fai, Po-Wing and Buenos Aires.   Cantonese, Mandarin, Spanish and English with English subtitles.\"", "Leslie Cheung, Tony Leung Chiu-wai, Chang Chen", "Romance", "15", "Strong Language, Strong sexual references"
11158, 2024-03-06, "A House In Jerusalem", 103, "After a grieving dad and his daughter move from England to Jerusalem, she encounters a little girl that only she can see in this touching supernatural exploration of friendship and loss.  After her mother dies in an accident, grieving Rebecca (Miley Locke) and her father (Johnny Harris) move from England to Jerusalem in a bid to make a fresh start. In a covered well in the garden, Rebecca finds an old doll and soon encounters a little girl of the same age who only she can see. Palestinian director Muayad Alayan employs the supernatural subtly as Rebecca starts to work through her grief at the same time as trying to unravel a mystery. An atmospheric and moving exploration of friendship and coming to terms with trauma and the ghosts of the past.  English, Arabic and Hebrew with English subtitles.", "Johnny Harris, Miley Locke, Sheherazade Makhoul Farrell", "Drama", "N/C 12+", "Threat, Images of War, Mild sexual references"
11158, 2024-03-07, "A House In Jerusalem", 103, "After a grieving dad and his daughter move from England to Jerusalem, she encounters a little girl that only she can see in this touching supernatural exploration of friendship and loss.  After her mother dies in an accident, grieving Rebecca (Miley Locke) and her father (Johnny Harris) move from England to Jerusalem in a bid to make a fresh start. In a covered well in the garden, Rebecca finds an old doll and soon encounters a little girl of the same age who only she can see. Palestinian director Muayad Alayan employs the supernatural subtly as Rebecca starts to work through her grief at the same time as trying to unravel a mystery. An atmospheric and moving exploration of friendship and coming to terms with trauma and the ghosts of the past.  English, Arabic and Hebrew with English subtitles.", "Johnny Harris, Miley Locke, Sheherazade Makhoul Farrell", "Drama", "N/C 12+", "Threat, Images of War, Mild sexual references"
11163, 2024-03-06, "Baby Assassins 2 Babies", 101, "The kick-ass assassins with slacker tendencies are back in a fast-paced and funny sequel that sees them trying to pay off a gym debt while avoiding losing their spot in the Assassins’ Guild to a pair of rivals.  Odd couple Chisato (Akari Takaishi) and Mahiro (Saori Izawa) are back as a pair of kick-ass assassins with slacker tendencies in Yugo Sakamoto's fast-paced and funny sequel. When Chisato discovers their gym payment is four-years overdue, the duo are forced to ditch their desserts in a bid to settle their debts. But it’s not so easy after they find themselves suspended from the Assassins’ Guild and with a pair of brothers keen to take their place. Mixing coming-of-age comedy with action, you don’t need to have seen the original to fall in love with this killer double-act this time around.  Japanese with English subtitles.", "Akari Takaishi, Saori Izawa, Oto Abe", "Action", "N/C 18+", "Murder, Strong Language, Strong physical violence, Blood"
11163, 2024-03-07, "Baby Assassins 2 Babies", 101, "The kick-ass assassins with slacker tendencies are back in a fast-paced and funny sequel that sees them trying to pay off a gym debt while avoiding losing their spot in the Assassins’ Guild to a pair of rivals.  Odd couple Chisato (Akari Takaishi) and Mahiro (Saori Izawa) are back as a pair of kick-ass assassins with slacker tendencies in Yugo Sakamoto's fast-paced and funny sequel. When Chisato discovers their gym payment is four-years overdue, the duo are forced to ditch their desserts in a bid to settle their debts. But it’s not so easy after they find themselves suspended from the Assassins’ Guild and with a pair of brothers keen to take their place. Mixing coming-of-age comedy with action, you don’t need to have seen the original to fall in love with this killer double-act this time around.  Japanese with English subtitles.", "Akari Takaishi, Saori Izawa, Oto Abe", "Action", "N/C 18+", "Murder, Strong Language, Strong physical violence, Blood"
11170, 2024-03-06, "Bucky F*cking Dent", 105, "David Duchovny adapts his own novel and stars in this black comedy about a baseball-mad dad whose terminal cancer diagnosis leads him to be reunited with his estranged son.  A sharp-edged but sweet-hearted dramedy about a baseball mad dad and his long-estranged son. Duchovny plays Marty, who has been diagnosed with terminal cancer. When his failed novelist son Teddy (Logan Marshall-Green) finds out he decides to care for him and when he discovers his father’s health seems to go up and down according to how his beloved Red Sox are playing, he hatches a plan to put them on a winning streak. Duchovy’s script is enjoyably irreverent and sparky and there is also a lovely worked cameo from Pamela Adlon as Teddy’s agent", "Stephanie Beatriz, Logan Marshall-Green, David Duchovny", "Comedy", "N/C 15+", "Drug Use, Strong Language"
11170, 2024-03-07, "Bucky F*cking Dent", 105, "David Duchovny adapts his own novel and stars in this black comedy about a baseball-mad dad whose terminal cancer diagnosis leads him to be reunited with his estranged son.  A sharp-edged but sweet-hearted dramedy about a baseball mad dad and his long-estranged son. Duchovny plays Marty, who has been diagnosed with terminal cancer. When his failed novelist son Teddy (Logan Marshall-Green) finds out he decides to care for him and when he discovers his father’s health seems to go up and down according to how his beloved Red Sox are playing, he hatches a plan to put them on a winning streak. Duchovy’s script is enjoyably irreverent and sparky and there is also a lovely worked cameo from Pamela Adlon as Teddy’s agent", "Stephanie Beatriz, Logan Marshall-Green, David Duchovny", "Comedy", "N/C 15+", "Drug Use, Strong Language"
11176, 2024-03-06, "Elaha", 110, "A German-Kurdish woman has to decide whether to cover up the fact that she is no longer a virgin ahead of her wedding in this poignant exploration of cultural pressure and self-determination.  Elaha (Bayan Layla) faces a dilemma just weeks away from her wedding to Nasim (Armin Wahedi) in Milena Aboyan’s tense and poignant drama. Elaha has to decide whether to try to cover up the fact that she is no longer a virgin - a state of 'honour' considered essential by her German-Kurdish community and, more specifically, by her strict mother (Derya Durmaz). Aboyan carefully explores the cultural ties that bind Elaha, as the young woman embarks on a journey of self-discovery.  German and Kurdish with English subtitles", "Bayan Layla, Hadnet Tesfai, Derya Durmaz", "Drama", "N/C 15+", "Medical Images, Gore, Sexual Assault, Strong Language, Mild physical violence, Mild nudity, Mild sexual references, Racism / discrimination / slurs"
11176, 2024-03-07, "Elaha", 110, "A German-Kurdish woman has to decide whether to cover up the fact that she is no longer a virgin ahead of her wedding in this poignant exploration of cultural pressure and self-determination.  Elaha (Bayan Layla) faces a dilemma just weeks away from her wedding to Nasim (Armin Wahedi) in Milena Aboyan’s tense and poignant drama. Elaha has to decide whether to try to cover up the fact that she is no longer a virgin - a state of 'honour' considered essential by her German-Kurdish community and, more specifically, by her strict mother (Derya Durmaz). Aboyan carefully explores the cultural ties that bind Elaha, as the young woman embarks on a journey of self-discovery.  German and Kurdish with English subtitles", "Bayan Layla, Hadnet Tesfai, Derya Durmaz", "Drama", "N/C 15+", "Medical Images, Gore, Sexual Assault, Strong Language, Mild physical violence, Mild nudity, Mild sexual references, Racism / discrimination / slurs"
11217, 2024-03-06, "The Invisible Fight", 115, "Heavy metal and kung-fu comedy come together with anarchic absurdity in this tale of a soldier whose brush with death leads him to decide to become a martial arts monk.  The colourful exuberance and dodgy fashions of the 1970s are perfectly captured in Rainer Sarnet’s anarchic kung-fu comedy. When Black Sabbath-loving young soldier Rafael (Ursel Tilk) has a brush with death invovling three Chinese martial artists and a boombox, he decides to become a kung-fu Orthodox monk. But the path to humility is not as easy as it looks, especially in the face of rival monk Irinei (Kaarel Pogga), the attractions of local woman Rita (Ester Kuntu) and his mum’s home cooking. Sarnet blends flamboyant kick-ass action with absurdist humour.                                           Estonian and Russian with English subtitles.", "Ursel Tilk, Kaarel Pogga, Ester Kuntu", "Action", "N/C 15+", "Comic Violence, Mild nudity, Mild sexual references"
11217, 2024-03-07, "The Invisible Fight", 115, "Heavy metal and kung-fu comedy come together with anarchic absurdity in this tale of a soldier whose brush with death leads him to decide to become a martial arts monk.  The colourful exuberance and dodgy fashions of the 1970s are perfectly captured in Rainer Sarnet’s anarchic kung-fu comedy. When Black Sabbath-loving young soldier Rafael (Ursel Tilk) has a brush with death invovling three Chinese martial artists and a boombox, he decides to become a kung-fu Orthodox monk. But the path to humility is not as easy as it looks, especially in the face of rival monk Irinei (Kaarel Pogga), the attractions of local woman Rita (Ester Kuntu) and his mum’s home cooking. Sarnet blends flamboyant kick-ass action with absurdist humour.                                           Estonian and Russian with English subtitles.", "Ursel Tilk, Kaarel Pogga, Ester Kuntu", "Action", "N/C 15+", "Comic Violence, Mild nudity, Mild sexual references"
11226, 2024-03-06, "Foxy Brown", 92, "Fiercely entertaining and hugely influential blaxploitation crime classic that sees Pam Grier on knock ’em dead form as a heroine out for revenge after her undercover cop boyfriend is murderer  The poster warned \"\"Don’t mess roun’ with Foxy Brown, she’s the meanest chick in town!” and they weren’t kidding. Pam Grier was on smoking hot form when she took on the lead role in this blaxploitation classic that went on to influence a battalion of female action heroes and the likes of Quentin Tarantino. Grier’s Foxy is out for vengeance after her boyfriend is murdered, taking an escort agency job to bring the mob down from within. Jack Hill’s fiercely entertaining film - made as a follow-up with Grier after their surprise hit Coffy - is a stylish and subversive kick-ass treat.", "Pam Grier, Antonio Fargas, Peter Brown", "Action", "18", "Sexual Assault, Strong physical violence, Strong sexual references"
11234, 2024-03-06, "Surprise Film", 120, "Its that time of year again where the speculation is rife and the predictions are many but in the end will you be able to guess what we have up our sleeves? A firm staple of the Glasgow Film Festival programme, The Surprise Film returns and the only thing we can promise is that if you buy a ticket then we will show you a film. New or old? Drama or horror? Foreign language or a made-up language? All will be revealed on the night so please join us for one of the highlights of the festival.", null, null, "N/C 18+", ""
10021, 2024-03-07, "The Wizard of Oz", 102, "Join us at Cottiers for a very special screening as we celebrate the year 1939, which not only marks the film’s release but also the year that the Cosmo Cinema (now GFT) was founded.  After a tornado sweeps though their home, Dorothy Gale and her trusted pooch, Toto, are transported to the magical Land of Oz. With the help of three new friends, she must embark on a quest to find the enigmatic Wizard of Oz in the hopes that he can send her home. Put on your shiniest red shoes, close your eyes, tap your heels together 3 times and repeat, “There’s no place like GFF” as we enjoy one of the all-time classics on the big screen.  Please note that tickets are limited to 4 per person per booking.  Doors will open at 19:00 for a start time of 20:00.  For full FAQs, please visit glasgowfilm.org/the-wizard-of-oz-faqs", "Judy Garland, Ray Bolger, Jack Haley, Bert Lahr, Frank Morgan", "Adventure", "U", "Threat"
11149, 2024-03-07, "You'll Never Find Me", 96, "Claustrophobic, tense Australian thriller set over the course of one stormy night. Paranoia begins to boil after a young woman seeks shelter in the caravan of an older man.  It’s a stormy night when Patrick (Brendan Rock) hears a knock on the door of his trailer park caravan. He opens the door to find a young woman (Jordan Cowan), alone in the night, with no explanation of how she got there. He allows her take shelter, but the paranoia of both characters begins to boil and the two begin to question each other's stories and motives as the storm outside rages. Unsettling from start to finish, this is an intimate and claustrophobic thriller from Josiah Allen and Indianna Bell.  Thanks to Blue Finch films", "Brendan Rock, Jordan Cowan, Elena Carapetis", "Horror", "N/C 15+", "Jump Scares, Violence, Blood"
11174, 2024-03-07, "Drift", 93, "Cynthia Erivo’s (Harriet) physically and emotionally nuanced performance anchors this slow-burn character study of a woman who is adrift on the fringes of a Greek resort after a traumatic incident.  West African refugee Jacqueline (Cynthia Erivo) is living homeless and penniless on the fringes of a Greek holiday resort for reasons that are gradually revealed in Anthony Chen’s affecting slow-burn character study. When she encounters American tour guide Callie (Alia Shawkat) it seems things might take a change for the better as she starts to open up about her traumatic past in Liberia. Erivo’s emotionally fragile performance, which she reflects in her character’s physical reaction to threat, dovetails perfectly with Shawkat’s empathetic and sunny turn as the guide whose life also hasn’t turned out quite as she imagined it would.  English and Greek with English Subtitles", "Cynthia Erivo, Alia Shawkat, Ibrahima Ba ", "Drama", "15", "Gore, Murder, Strong Language, Strong physical violence, Strong sexual references, Racism / discrimination / slurs"
11174, 2024-03-08, "Drift", 93, "Cynthia Erivo’s (Harriet) physically and emotionally nuanced performance anchors this slow-burn character study of a woman who is adrift on the fringes of a Greek resort after a traumatic incident.  West African refugee Jacqueline (Cynthia Erivo) is living homeless and penniless on the fringes of a Greek holiday resort for reasons that are gradually revealed in Anthony Chen’s affecting slow-burn character study. When she encounters American tour guide Callie (Alia Shawkat) it seems things might take a change for the better as she starts to open up about her traumatic past in Liberia. Erivo’s emotionally fragile performance, which she reflects in her character’s physical reaction to threat, dovetails perfectly with Shawkat’s empathetic and sunny turn as the guide whose life also hasn’t turned out quite as she imagined it would.  English and Greek with English Subtitles", "Cynthia Erivo, Alia Shawkat, Ibrahima Ba ", "Drama", "15", "Gore, Murder, Strong Language, Strong physical violence, Strong sexual references, Racism / discrimination / slurs"
11182, 2024-03-07, "Hoard", 126, "A dark but lyrical study of trauma, loneliness and thwarted sexuality. A young girl's life is charted from living with her troubled mother to later falling in love with one of her foster carer's former charges.   Debut director Luna Carmoon crafts a raw psychodrama and haunting study of trauma, loneliness and thwarted sexuality. Unfolding in two parts, the first shows young Maria (Lily-Beau Leach) being cared for by her troubled single mum Cynthia (Hayley Squires) as the pair bond on nightly scavenger hunts to feed Cynthia’s obsessive-compulsive hoarding. Cutting to a decade later, Maria (now played by Saura Lightfoot Leon), is living with foster mother Michelle (Samantha Spiro). The return of one of Michelle’s former charges (Stranger Things’s star Joseph Quinn) sees the young pair embark on an intense and bizarre relationship.", "Tim Bowie, Ceara Coveney, Sarah Rose Denton", "Drama", "N/C 15+", ""
11182, 2024-03-08, "Hoard", 126, "A dark but lyrical study of trauma, loneliness and thwarted sexuality. A young girl's life is charted from living with her troubled mother to later falling in love with one of her foster carer's former charges.   Debut director Luna Carmoon crafts a raw psychodrama and haunting study of trauma, loneliness and thwarted sexuality. Unfolding in two parts, the first shows young Maria (Lily-Beau Leach) being cared for by her troubled single mum Cynthia (Hayley Squires) as the pair bond on nightly scavenger hunts to feed Cynthia’s obsessive-compulsive hoarding. Cutting to a decade later, Maria (now played by Saura Lightfoot Leon), is living with foster mother Michelle (Samantha Spiro). The return of one of Michelle’s former charges (Stranger Things’s star Joseph Quinn) sees the young pair embark on an intense and bizarre relationship.", "Tim Bowie, Ceara Coveney, Sarah Rose Denton", "Drama", "N/C 15+", ""
11185, 2024-03-07, "I Dream in Photos", 80, "Festival alumni Gary Lennon and Ollie Aslin (Casto Spies) explore the life and work of photographer Cathal McNaughton on a hiatus from photography, as he reflects on his impressive and emotionally taxing career.   Northern Irish photographer and winner of the Pulitzer Prize in 2018 Cathal McNaughton contemplates the traumatic effects of photo journalism on his life in Gary Lennon and Ollie Aslin’s second co-directed documentary. After being banned by the Indian government from re-entering the country, Cathal is left stranded in the rural Irish town of his birth, away from his friends, family and his camera equipment. In a state of creative limbo, he dreams of his own formidable photos and the lives he has touched through his work, in a stunning self-reflection that questions the ethics of documenting trauma. ", "Cathal McNaughton", "Documentary ", "N/C 15+", "Mild Bad Language, Images of War"
11185, 2024-03-08, "I Dream in Photos", 80, "Festival alumni Gary Lennon and Ollie Aslin (Casto Spies) explore the life and work of photographer Cathal McNaughton on a hiatus from photography, as he reflects on his impressive and emotionally taxing career.   Northern Irish photographer and winner of the Pulitzer Prize in 2018 Cathal McNaughton contemplates the traumatic effects of photo journalism on his life in Gary Lennon and Ollie Aslin’s second co-directed documentary. After being banned by the Indian government from re-entering the country, Cathal is left stranded in the rural Irish town of his birth, away from his friends, family and his camera equipment. In a state of creative limbo, he dreams of his own formidable photos and the lives he has touched through his work, in a stunning self-reflection that questions the ethics of documenting trauma. ", "Cathal McNaughton", "Documentary ", "N/C 15+", "Mild Bad Language, Images of War"
11186, 2024-03-07, "In Flames", 98, "A grieving student grappling with patriarchal oppression and debt in the wake of the death of her grandfather finds herself stalked by a sinister force in this powerful psychological horror.  Official Entry: Pakistan - Best International Feature - 96th Academy Awards®  The misogyny faced by women in Pakistani society is brought sharply into focus in Zarrar Kahn’s supernaturally tinged psychological horror. Medical student Mariam (Ramesha Nawal) is facing a mountain of problems after the sudden death of her grandfather leaves her and her widowed mother (Bakhtawar Mazhar) with debts. Unsure who to trust, the one bright spot is a growing friendship with fellow student Asad (Omar Javaid), but an unexpected event leads Mariam’s trauma to manifest itself in sinister ways. Khan’s tension-riven debut offers barbed commentary on the ongoing struggle for equality faced by many women while packing a genre punch.                       Urdu with English subtitles.", "Ramesha Nawal, Omar Javaid, Bakhtawar Mazhar", "Horror", "N/C 15+", "Violence, Sexual Assault, Strong Language, Strong physical violence, Strong sexual references"
