"The Beast","2024/03/08 20:10",146,"Cineworld Screen 1","French auteur Bertrand Bonello presents a bold, centuries-spanning tale of romance and obsession in the shadow of an impending catastrophe freely adapted from Henry James’s The Beast In The Jungle.

Léa Seydoux and George MacKay engage in a doomed romance across three different time periods in Bertrand Bonello’s bold, centuries-spanning sci-fi tale. In the year 2044, Seydoux’s Gabrielle is attempting to 'purify' her DNA from emotions, which leads her to consider her past lives. In the process, she realises her multiple existences - including those in 1910 and 2014 - have been entwined with those of a man named Louis (MacKay), for good and ill.  Freely adapted by the French auteur from Henry James’s The Beast in The Jungle, past and future fears come together in a heady and provocative mix.         

French and English with English subtitles.","Léa Seydoux, George MacKay, Guslagie Malanda","Drama","Romance, Sci-Fi","Bertrand Bonello","N/C 15+","","","https://www.youtube.com/watch?v=eND0LhFvluI?si=AJ5rtSDoEH5UZDLS","https://indy-systems.imgix.net/nklc4u0rowpbkrx63cp404hngt1a"
"The Burning Season","2024/03/03 17:45",89,"GFT 2","The story of a long-running love affair linked to an incident from the past unspools backwards to reveal its secrets in a twisty tale of a bad romance.

Married couple Alena (Sara Canning) and Tom (Joe Pingue) have been visiting the Luna Lake cabins every summer for years. This year is different because their friends and resort owners JB (Jonas Chernick, The End of Sex) and Poppy (Tanisha Thammavongsa) are getting married. The wedding ends in disaster when news of an explosive affair is revealed. This is just the beginning - or, perhaps, the end - of Sean Garrity’s gripping and twisty tale of trauma and bad romance that gradually unfolds backwards in time until the secrets of a summer in the same spot long ago are revealed. ","Sara Canning, Jonas Chernick, Joe Pingue","Romance","Drama","Sean Garrity","N/C 15+","Drug Use, Strong Language, Mild physical violence, Mild nudity, Mild sexual references","","https://www.youtube.com/watch?v=2LxrL1r76mA?si=d7aQ9kpIi4cWmAn6","https://indy-systems.imgix.net/zrqlid2hrfik7avfj6k5yhzqf46w"
"The Burning Season","2024/03/04 14:15",89,"GFT 2","The story of a long-running love affair linked to an incident from the past unspools backwards to reveal its secrets in a twisty tale of a bad romance.

Married couple Alena (Sara Canning) and Tom (Joe Pingue) have been visiting the Luna Lake cabins every summer for years. This year is different because their friends and resort owners JB (Jonas Chernick, The End of Sex) and Poppy (Tanisha Thammavongsa) are getting married. The wedding ends in disaster when news of an explosive affair is revealed. This is just the beginning - or, perhaps, the end - of Sean Garrity’s gripping and twisty tale of trauma and bad romance that gradually unfolds backwards in time until the secrets of a summer in the same spot long ago are revealed. ","Sara Canning, Jonas Chernick, Joe Pingue","Romance","Drama","Sean Garrity","N/C 15+","Drug Use, Strong Language, Mild physical violence, Mild nudity, Mild sexual references","","https://www.youtube.com/watch?v=2LxrL1r76mA?si=d7aQ9kpIi4cWmAn6","https://indy-systems.imgix.net/zrqlid2hrfik7avfj6k5yhzqf46w"
"The Dead Don't Hurt","2024/03/03 18:45",129,"GFT 1","PLEASE NOTE: The screening on Sunday 3 March at 18:45 will be followed by a Q&A with Viggo Mortensen and Solly McLeod.
Due to anticipated demand for this event, tickets are restricted to one per customer.
________________________________________________________________________________________________________________________

Viggo Mortensen writes, directs and stars in this original take on the classic Western, in a story that centres on the adventurous life of fiercely independent Vivienne Le Coudy, played by Vicky Krieps.

Viggo Mortensen heads back to the 1860s for this moving romantic Western. Vicky Krieps stars as French-Canadian Vivenne, who falls for Danish immigrant Holger Olsen (Mortensen). The pair move to a frontier town in Nevada as the threat of the Civil War looms. When Holger decides to fight for the Union, Vivienne faces serious threats on the homefront, courtesy of the town’s corrupt mayor (Danny Huston), his rancher business partner (Garret Dillahunt) and the rancher’s violent son (Solly McLeod). Elegantly crafted and featuring powerhouse performances from Krieps and Mortensen, the actor-turned-writer/director delivers an emotionally satisfying drama.

In English, French and Spanish with English subtitles","Vicky Krieps, Viggo Mortensen, Solly McLeod","Western","Drama","Viggo Mortensen
","N/C 15+","Violence, Murder, Strong Language, Blood, Mild nudity, Mild sexual references, Racism / discrimination / slurs","","https://www.youtube.com/watch?v=","https://indy-systems.imgix.net/v6ov54r1yyc5tvpwkm4pxi4r3ldv"
"The Dead Don't Hurt","2024/03/04 14:45",129,"GFT 1","PLEASE NOTE: The screening on Sunday 3 March at 18:45 will be followed by a Q&A with Viggo Mortensen and Solly McLeod.
Due to anticipated demand for this event, tickets are restricted to one per customer.
________________________________________________________________________________________________________________________

Viggo Mortensen writes, directs and stars in this original take on the classic Western, in a story that centres on the adventurous life of fiercely independent Vivienne Le Coudy, played by Vicky Krieps.

Viggo Mortensen heads back to the 1860s for this moving romantic Western. Vicky Krieps stars as French-Canadian Vivenne, who falls for Danish immigrant Holger Olsen (Mortensen). The pair move to a frontier town in Nevada as the threat of the Civil War looms. When Holger decides to fight for the Union, Vivienne faces serious threats on the homefront, courtesy of the town’s corrupt mayor (Danny Huston), his rancher business partner (Garret Dillahunt) and the rancher’s violent son (Solly McLeod). Elegantly crafted and featuring powerhouse performances from Krieps and Mortensen, the actor-turned-writer/director delivers an emotionally satisfying drama.

In English, French and Spanish with English subtitles","Vicky Krieps, Viggo Mortensen, Solly McLeod","Western","Drama","Viggo Mortensen
","N/C 15+","Violence, Murder, Strong Language, Blood, Mild nudity, Mild sexual references, Racism / discrimination / slurs","","https://www.youtube.com/watch?v=","https://indy-systems.imgix.net/v6ov54r1yyc5tvpwkm4pxi4r3ldv"
"The Deep Dark","2024/03/08 15:25",103,"GFT 1","Decades after a deadly cave-in, a veteran miner is forced to accompany a professor underground and, after a landslide, they find themselves up against an ancient mutant that craves blood.

From Mathieu Turi, director of Meander and Hostile, comes an award-winning creature feature taking you on a deep dark voyage of limitless horrific imagination. It’s 1856 and in the historic coal mines of Northern France a group of miners find themselves trapped in the subterranean depths after a cave-in. However, they soon realise they are not alone… Decades later veteran miner Roland (Samuel Le Bihan) is forced by management to accompany Professor Berthier (Jean-Hugues Anglade) underground to take samples and measurements. A sudden landslide prevents them from surfacing and they too must face the ancient mutant that constantly craves blood.

French with English subtitles","Samuel Le Bihan, Amir El Kacem, Jean-Hugues Anglade","Horror","","Mathieu Turi","N/C 18+","Blood, Extreme gore and violence, Monster threat, Claustrophobic situations","FrightFest","https://www.youtube.com/watch?v=/sT5gnX53yDU?si=TqtCRN8qSNtenISO","https://indy-systems.imgix.net/pdkuibcitypf9u0ypaw0dkihv3gm"
"The Funeral","2024/03/09 13:00",109,"GFT 1","A love story with a body count. When a lonely hearse driver transports the body of a murdered young woman back to her family he soon discovers that his passenger is not actually dead and instantly begins to fall in love. The problem is that she's not exactly alive either. 
One man’s quest for romance has never been more twisted than this fantastical, creepy tale that asks how far you would go for the person you love, even if they aren’t exactly alive anymore.

When Cemal (Ahmet Rifat Sungar), a lonely hearse driver, transports the body of a murdered young woman back to her family he soon discovers that his passenger is not actually dead and instantly begins to fall in love with her. The problem is that she's not exactly alive either. But one thing is for sure, she's hungry, and Cemal will do anything to please her. Turkish director Orçun Behram's second feature film is fantastically twisted, deeply creepy horror that will have you squirming in your seat.                                                            

Turkish with English subtitles","Emrah Altintoprak, Gizem Erdem, Orhan Eskin","Horror","","Orcun Behram","N/C 18+","Threat, Violence, Blood","FrightFest","https://www.youtube.com/watch?v=","https://indy-systems.imgix.net/51pebkxc5au25bcyywntzg7y29v7"
"The G","2024/02/29 20:30",99,"GFT 2","Dale Dickey (Winter’s Bone, A Love Song) stars in this pacy and complex revenge thriller that proves hell hath no fury like a grandmother scorned.

Dale Dickey (Winter’s Bone, A Love Song) is menacingly magnetic as foul-mouthed, hard-drinking bad-ass gran Ann Hunter - aka The G - in Karl R Hearne’s gritty Canadian revenge thriller. After her home and loved ones are targeted by a corrupt legal guardian (Bruce Ramsay), Ann views being moved to a care home as an act of war. She soon sets about taking back control as her granddaughter Emma (Romaine Denis) is also hatching a plan to get her out. A twisty story that makes a serious point about how society treats the elderly, packing plenty of pace and punch.
","Dale Dickey, Romane Denis, Bruce Ramsay","Crime","Thriller","Karl R. Hearne","N/C 15+","Murder, Strong Language, Strong physical violence, Blood, Mild nudity, Mild sexual references","","https://www.youtube.com/watch?v=","https://indy-systems.imgix.net/ugy7b82m7yis53cskgvytlxjrnp1"
"The G","2024/03/02 18:15",99,"Cineworld Screen 1","Dale Dickey (Winter’s Bone, A Love Song) stars in this pacy and complex revenge thriller that proves hell hath no fury like a grandmother scorned.

Dale Dickey (Winter’s Bone, A Love Song) is menacingly magnetic as foul-mouthed, hard-drinking bad-ass gran Ann Hunter - aka The G - in Karl R Hearne’s gritty Canadian revenge thriller. After her home and loved ones are targeted by a corrupt legal guardian (Bruce Ramsay), Ann views being moved to a care home as an act of war. She soon sets about taking back control as her granddaughter Emma (Romaine Denis) is also hatching a plan to get her out. A twisty story that makes a serious point about how society treats the elderly, packing plenty of pace and punch.
","Dale Dickey, Romane Denis, Bruce Ramsay","Crime","Thriller","Karl R. Hearne","N/C 15+","Murder, Strong Language, Strong physical violence, Blood, Mild nudity, Mild sexual references","","https://www.youtube.com/watch?v=","https://indy-systems.imgix.net/ugy7b82m7yis53cskgvytlxjrnp1"
"The Home Game","2024/03/06 18:00",79,"GFT 2","The real story of how a plucky village football team became determined to play a home game in Iceland’s FA Cup is a celebration of team spirit for underdogs everywhere.

In 1994 one man in the Icelandic village of Hellissandur (population: 369) had a dream to build a football pitch and play a home game in the country’s FA Cup. He managed his first objective, but the side drew an away game and fell to a 10-0 defeat. Fast-forward to 2020 and his son takes up the gauntlet, inviting players of all ages, abilities and genders to train for Reynir FC with the same FA Cup goal in mind. Smari Gunn and Logi Sigursveinsson’s documentary follows their journey in an uplifting celebration of team and community spirit for underdogs everywhere.      
                                
Icelandic and English with English subtitles.","Freydís Bjarnadóttir, Viðar Gylfason, Kári Viðars","Documentary","Comedy","Smari Gunn, Logi Sigursveinsson","N/C 15+","","","https://www.youtube.com/watch?v=1D1wPzVNCJI?si=kwtxORwZpNbWrJJ7","https://indy-systems.imgix.net/7wkkyok6tkqtsj9t0zj4wx90nmib"
"The Home Game","2024/03/07 13:15",79,"GFT 2","The real story of how a plucky village football team became determined to play a home game in Iceland’s FA Cup is a celebration of team spirit for underdogs everywhere.

In 1994 one man in the Icelandic village of Hellissandur (population: 369) had a dream to build a football pitch and play a home game in the country’s FA Cup. He managed his first objective, but the side drew an away game and fell to a 10-0 defeat. Fast-forward to 2020 and his son takes up the gauntlet, inviting players of all ages, abilities and genders to train for Reynir FC with the same FA Cup goal in mind. Smari Gunn and Logi Sigursveinsson’s documentary follows their journey in an uplifting celebration of team and community spirit for underdogs everywhere.      
                                
Icelandic and English with English subtitles.","Freydís Bjarnadóttir, Viðar Gylfason, Kári Viðars","Documentary","Comedy","Smari Gunn, Logi Sigursveinsson","N/C 15+","","","https://www.youtube.com/watch?v=1D1wPzVNCJI?si=kwtxORwZpNbWrJJ7","https://indy-systems.imgix.net/7wkkyok6tkqtsj9t0zj4wx90nmib"
"The Invisible Fight","2024/03/06 18:00",115,"Cineworld Screen 2","Heavy metal and kung-fu comedy come together with anarchic absurdity in this tale of a soldier whose brush with death leads him to decide to become a martial arts monk.

The colourful exuberance and dodgy fashions of the 1970s are perfectly captured in Rainer Sarnet’s anarchic kung-fu comedy. When Black Sabbath-loving young soldier Rafael (Ursel Tilk) has a brush with death invovling three Chinese martial artists and a boombox, he decides to become a kung-fu Orthodox monk. But the path to humility is not as easy as it looks, especially in the face of rival monk Irinei (Kaarel Pogga), the attractions of local woman Rita (Ester Kuntu) and his mum’s home cooking. Sarnet blends flamboyant kick-ass action with absurdist humour.     
                                    
Estonian and Russian with English subtitles.","Ursel Tilk, Kaarel Pogga, Ester Kuntu","Action","Comedy","Rainer Sarnet","N/C 15+","Comic Violence, Mild nudity, Mild sexual references","","https://www.youtube.com/watch?v=QVw3TKg_7uQ?si=znQg1dA6xti8SLew","https://indy-systems.imgix.net/syowgb21x9uig5pqhz9f1ng4ovpi"
"The Invisible Fight","2024/03/07 15:00",115,"Cineworld Screen 2","Heavy metal and kung-fu comedy come together with anarchic absurdity in this tale of a soldier whose brush with death leads him to decide to become a martial arts monk.

The colourful exuberance and dodgy fashions of the 1970s are perfectly captured in Rainer Sarnet’s anarchic kung-fu comedy. When Black Sabbath-loving young soldier Rafael (Ursel Tilk) has a brush with death invovling three Chinese martial artists and a boombox, he decides to become a kung-fu Orthodox monk. But the path to humility is not as easy as it looks, especially in the face of rival monk Irinei (Kaarel Pogga), the attractions of local woman Rita (Ester Kuntu) and his mum’s home cooking. Sarnet blends flamboyant kick-ass action with absurdist humour.     
                                    
Estonian and Russian with English subtitles.","Ursel Tilk, Kaarel Pogga, Ester Kuntu","Action","Comedy","Rainer Sarnet","N/C 15+","Comic Violence, Mild nudity, Mild sexual references","","https://www.youtube.com/watch?v=QVw3TKg_7uQ?si=znQg1dA6xti8SLew","https://indy-systems.imgix.net/syowgb21x9uig5pqhz9f1ng4ovpi"
"The Invisible Raptor","2024/03/08 18:00",113,"GFT 1","When a genetically-engineered invisible raptor goes rogue, a washed-up paleontologist and a loner security guard try to stop the murderous predator and discover the truth behind it before it’s too late.

The Tyler Corporation has finally figured out how to genetically engineer a prehistoric raptor. They also made it invisible. After breaking out of its enclosure, it’s up to washed-up, amusement park paleontologist, Dr. Grant Walker (Mike Capes) and hapless loner Security Guard, Denny Denielson (David Shackelford) to stop the predator before he wreaks havoc on the community of Spielburgh County. With the help of local celebrity chicken farmer Henrietta McCluckskey (Sandy Martin) and Grant’s old flame Amber (Caitlin McHugh), they uncover the truth behind the mysterious predator.","Derek Alvarado, Sean Astin, Chad Bullard","Comedy","Horror","Mike Hermosa ","N/C 18+","Comic Violence, Body Horror, Blood","FrightFest","https://www.youtube.com/watch?v=","https://indy-systems.imgix.net/016za17aefgjbvwc9q5vqkum3zrd"
"The Old Man and the Land","2024/03/05 18:15",93,"GFT 3","This moving drama follows  an old man working alone to maintain his ancestral farmland, as his children prove to be at once remote and controlling.

Nicholas Parish's moving and inventive debut, written by Nico Mensinga, contrasts the work of an elderly man (Roger Marten) on the land his family have farmed for generations with tense calls from his grown up children about the future of the farm. We never hear the father speak but instead listen to messages left to him by his son David (Rory Kinnear, Quantum of Solace) and daughter Laura (Emily Beecham, Daphne) and conversations between them. Laura has followed in her father's footsteps, calling him from a farm she is running in Spain, while David's life has been considerably less successful. A drama built on careful emotional counterpoint.","Rory Kinnear, Emily Beecham, Roger Marten ","Drama","","Nicholas Parish","N/C 15+","Animal Death, Strong Language","","https://www.youtube.com/watch?v=","https://indy-systems.imgix.net/j5kj2761osizdl7zzv164d8mjldb"
"The Old Man and the Land","2024/03/06 16:00",93,"Cineworld Screen 1","This moving drama follows  an old man working alone to maintain his ancestral farmland, as his children prove to be at once remote and controlling.

Nicholas Parish's moving and inventive debut, written by Nico Mensinga, contrasts the work of an elderly man (Roger Marten) on the land his family have farmed for generations with tense calls from his grown up children about the future of the farm. We never hear the father speak but instead listen to messages left to him by his son David (Rory Kinnear, Quantum of Solace) and daughter Laura (Emily Beecham, Daphne) and conversations between them. Laura has followed in her father's footsteps, calling him from a farm she is running in Spain, while David's life has been considerably less successful. A drama built on careful emotional counterpoint.","Rory Kinnear, Emily Beecham, Roger Marten ","Drama","","Nicholas Parish","N/C 15+","Animal Death, Strong Language","","https://www.youtube.com/watch?v=","https://indy-systems.imgix.net/j5kj2761osizdl7zzv164d8mjldb"
"The Philadelphia Story","2024/03/08 18:00",112,"CCA Cinema","Katharine Hepburn, Cary Grant, and James Stewart star as a dynamic threesome in this comedic romp. On the day before her wedding, an ex-husband (Grant) and an undercover journalist (Stewart) turn up on the door of a wealthy socialite (Hepburn). 

The Philadelphia Story was Katharine Hepburn’s hit comeback after she was labelled 'box office poison' in 1938 (along with her co-stars of this season Garbo and Dietrich). Her performance as the socialite Tracy Lord captures her most intriguing characteristics as a sporty tomboy who refuses be confined by her gender. Hepburn’s androgyny and insistence on wearing of trousers despite scorn from the studios and press certainly raised eyebrows at the time.  ","Cary Grant, Katharine Hepburn, James Stewart","Comedy","Romance","George Cukor","U","","What Will The Men Wear","https://www.youtube.com/watch?v=Onp4oA-gHyM?si=h4s7-EyzM-DRQfbd","https://indy-systems.imgix.net/nenx1u7n5n7puulzrwuazzii0dk5"
"The Teacher","2024/03/04 18:00",115,"GFT 2","Inspired by true events, this powerful West Bank-set drama centres on a grieving schoolteacher who is attempting to keep a student out of trouble whilst engaging in his own acts of political resistance.

British-Palestinian Farah Nabulsi - who won a BAFTA for her short film The Present - returns to the West Bank for her powerful debut feature, inspired by true events. Saleh Bakri (Wajib, The Blue Caftan) plays Basem, a teacher whose student Adam (Muhammad Abed El Rahman) becomes bent on revenge. Whilst trying to keep Adam out of trouble with the help of volunteer worker Lisa (Imogen Poots), Basem is also engaged in a dangerous act of resistance. Nabulsi paints a portrait of the complex situation in the West Bank, showing that there are no easy answers.

English and Arabic with English subtitles.","Muhammad Abed Elrahman, Nabil Al Raee, Mahmood Bakri","Drama","","Farah Nablusi","N/C 15+","Violence, Murder","","https://www.youtube.com/watch?v=","https://indy-systems.imgix.net/vrvsck8y7vnh9jb8ppdifi673fs4"
"The Teacher","2024/03/05 15:15",115,"GFT 2","Inspired by true events, this powerful West Bank-set drama centres on a grieving schoolteacher who is attempting to keep a student out of trouble whilst engaging in his own acts of political resistance.

British-Palestinian Farah Nabulsi - who won a BAFTA for her short film The Present - returns to the West Bank for her powerful debut feature, inspired by true events. Saleh Bakri (Wajib, The Blue Caftan) plays Basem, a teacher whose student Adam (Muhammad Abed El Rahman) becomes bent on revenge. Whilst trying to keep Adam out of trouble with the help of volunteer worker Lisa (Imogen Poots), Basem is also engaged in a dangerous act of resistance. Nabulsi paints a portrait of the complex situation in the West Bank, showing that there are no easy answers.

English and Arabic with English subtitles.","Muhammad Abed Elrahman, Nabil Al Raee, Mahmood Bakri","Drama","","Farah Nablusi","N/C 15+","Violence, Murder","","https://www.youtube.com/watch?v=","https://indy-systems.imgix.net/vrvsck8y7vnh9jb8ppdifi673fs4"
"The Teachers' Lounge","2024/03/01 17:45",98,"GFT 1","An idealistic teacher finds her good intentions leave her trapped in a moral maze after she tries to get to the bottom of school thefts in lker Çatak’s tense drama. 

Official Entry: Germany - Best International Feature - 96th Academy Awards®

Idealistic teacher Carla (Leonie Benesch), decides to take matters into her own hands after a spate of school thefts leaves a young child unfairly targeted. Using morally debatable methods she zeroes in on a culprit within the faculty - a situation complicated by the fact they have a child in the school. Soon Carla is feeling the heat not just from her colleagues but also from the children and their parents. lker Çatak never lets the tension slack as we see the uncompromising school system turn on those within it, fracturing Carla’s life in the process.

""Effectively imagines what seventh grade might be like if the curriculum were determined by Michael Haneke""
- Indiewire

German, Turkish, Polish and English with English subtitles.","Leonie Benesch, Leonard Stettnisch, Eva Löbau","Drama","","lker Çatak","N/C 15+","Xenophobia, Strong Language, Mild physical violence","","https://www.youtube.com/watch?v=6YgQBGqhTcM?si=RbzzMMIglRaLigli","https://indy-systems.imgix.net/qjivemrlqibp2al0jzek6jkdl9vq"
"The Teachers' Lounge","2024/03/02 15:25",98,"GFT 1","An idealistic teacher finds her good intentions leave her trapped in a moral maze after she tries to get to the bottom of school thefts in lker Çatak’s tense drama. 

Official Entry: Germany - Best International Feature - 96th Academy Awards®

Idealistic teacher Carla (Leonie Benesch), decides to take matters into her own hands after a spate of school thefts leaves a young child unfairly targeted. Using morally debatable methods she zeroes in on a culprit within the faculty - a situation complicated by the fact they have a child in the school. Soon Carla is feeling the heat not just from her colleagues but also from the children and their parents. lker Çatak never lets the tension slack as we see the uncompromising school system turn on those within it, fracturing Carla’s life in the process.

""Effectively imagines what seventh grade might be like if the curriculum were determined by Michael Haneke""
- Indiewire

German, Turkish, Polish and English with English subtitles.","Leonie Benesch, Leonard Stettnisch, Eva Löbau","Drama","","lker Çatak","N/C 15+","Xenophobia, Strong Language, Mild physical violence","","https://www.youtube.com/watch?v=6YgQBGqhTcM?si=RbzzMMIglRaLigli","https://indy-systems.imgix.net/qjivemrlqibp2al0jzek6jkdl9vq"
"The Universal Theory","2024/03/01 20:30",118,"Cineworld Screen 1","The multiverse gets a makeover in this intelligent and intriguing tale of a scientist, his supervising professor and a mysterious hotel pianist, unfolding at a physics conference as murder enters the equation.

The spirit of Hitchcock pumps through the veins of this intelligent metaphysical noir that gives the multiverse an old school makeover. After a prologue in which writer Johannes (Jan Bülow) insists that his science-fiction novel is actually a true account, the action then whisks back to the 1960s. There, the young Johannes is heading for a conference on quantum theory with his stern professor (Hanns Zischler), encountering a second academic, Professor Henry Blomberg (Gottfried Breitfuss) on the way. Timm Kröger’s film quickly develops into an stylish and intriguing mystery, involving an enigmatic hotel pianist (Olivia Ross) and a series of murders.

German, Italian, Swiss German, French and English with English subtitles.","Jan Bülow, Olivia Ross, Hanns Zischler ","Drama","Mystery, Thriller","Timm Kröger","N/C 15+","","","https://www.youtube.com/watch?v=JkgJV8IZ2gE?feature=shared","https://indy-systems.imgix.net/w5za58bzlcc10f7yd9q8rolgwcw5"
"The Universal Theory","2024/03/02 15:30",118,"Cineworld Screen 1","The multiverse gets a makeover in this intelligent and intriguing tale of a scientist, his supervising professor and a mysterious hotel pianist, unfolding at a physics conference as murder enters the equation.

The spirit of Hitchcock pumps through the veins of this intelligent metaphysical noir that gives the multiverse an old school makeover. After a prologue in which writer Johannes (Jan Bülow) insists that his science-fiction novel is actually a true account, the action then whisks back to the 1960s. There, the young Johannes is heading for a conference on quantum theory with his stern professor (Hanns Zischler), encountering a second academic, Professor Henry Blomberg (Gottfried Breitfuss) on the way. Timm Kröger’s film quickly develops into an stylish and intriguing mystery, involving an enigmatic hotel pianist (Olivia Ross) and a series of murders.

German, Italian, Swiss German, French and English with English subtitles.","Jan Bülow, Olivia Ross, Hanns Zischler ","Drama","Mystery, Thriller","Timm Kröger","N/C 15+","","","https://www.youtube.com/watch?v=JkgJV8IZ2gE?feature=shared","https://indy-systems.imgix.net/w5za58bzlcc10f7yd9q8rolgwcw5"
"The Vourdalak","2024/03/03 20:45",91,"Cineworld Screen 2","Atmospheric gothic horror offers a twist on the vampire tale as a French noble emissary in the mid-1800s encounters a clan who are falling prey to their own patriarch.

In the 1800s an aristocrat (Kacey Mottet Klein) seeks help from a family in an Eastern European forest after an attack. They are awaiting their patriarch’s return, though he warned them not to let him enter after more than six days as he would have become a shroud and blood-sucking Vourdalak. When the day arrives, familial love could prove deadly. Mixing gothic horror with a Hammer vibe - enhanced by Super 16 film - the use of a marionette as the Vourdalak adds to the eerie retro quality. Adrien Beau’s Leo Tolstoy adaptation offers a deliciously macabre twist on the vampire genre.

French with English subtitles.","Kacey Mottet Klein, Ariane Labed, Grégoire Colin","Horror","Period Drama, Fantasy","Adrien Beau","N/C 18+","Animal Death, Murder, Strong physical violence, Blood, Strong sexual references","","https://www.youtube.com/watch?v=NOltHm9cloY?feature=shared","https://indy-systems.imgix.net/b3bpvw6z4g8elpeb58rwk9g7mz5j"
"The Vourdalak","2024/03/04 15:30",91,"Cineworld Screen 2","Atmospheric gothic horror offers a twist on the vampire tale as a French noble emissary in the mid-1800s encounters a clan who are falling prey to their own patriarch.

In the 1800s an aristocrat (Kacey Mottet Klein) seeks help from a family in an Eastern European forest after an attack. They are awaiting their patriarch’s return, though he warned them not to let him enter after more than six days as he would have become a shroud and blood-sucking Vourdalak. When the day arrives, familial love could prove deadly. Mixing gothic horror with a Hammer vibe - enhanced by Super 16 film - the use of a marionette as the Vourdalak adds to the eerie retro quality. Adrien Beau’s Leo Tolstoy adaptation offers a deliciously macabre twist on the vampire genre.

French with English subtitles.","Kacey Mottet Klein, Ariane Labed, Grégoire Colin","Horror","Period Drama, Fantasy","Adrien Beau","N/C 18+","Animal Death, Murder, Strong physical violence, Blood, Strong sexual references","","https://www.youtube.com/watch?v=NOltHm9cloY?feature=shared","https://indy-systems.imgix.net/b3bpvw6z4g8elpeb58rwk9g7mz5j"
"The Well","2024/03/09 18:05",92,"GFT 1","Supernatural chiller sees a budding art restorer find her life in danger from an evil curse after she travels to Rome to bring a medieval painting back to its former glory.

Federico Zampaglione, the Italian Rob Zombie, director of Shadow, and Tulpa: Demon of Desire, returns to the extreme horror genre with a dark supernatural chiller starring Lauren LaVera, fresh from her eye-catching lead role in the box-office phenomenon Terrifier 2. She plays Lisa Gray, a budding art restorer, who travels to the small Italian village of Sambuci just outside Rome to bring a medieval painting back to its former glory for a wealthy and titled client. Little does she know she is placing her life in danger from an evil curse and a monster born of myth and brutal pain.

Thanks to Jinga Films","Lauren LaVera, Claudio Nathan Brezzi, Yassine Fadel","Horror","","Federico Zampaglione","N/C 18+","Strong physical violence, Blood","FrightFest","https://www.youtube.com/watch?v=","https://indy-systems.imgix.net/sj7zbkp5dmvrntj9vb20ls3rii0u"
"The Wizard of Oz","2024/03/07 20:00",102,"Cottiers","Join us at Cottiers for a very special screening as we celebrate the year 1939, which not only marks the film’s release but also the year that the Cosmo Cinema (now GFT) was founded.

After a tornado sweeps though their home, Dorothy Gale and her trusted pooch, Toto, are transported to the magical Land of Oz. With the help of three new friends, she must embark on a quest to find the enigmatic Wizard of Oz in the hopes that he can send her home. Put on your shiniest red shoes, close your eyes, tap your heels together 3 times and repeat, “There’s no place like GFF” as we enjoy one of the all-time classics on the big screen.

Please note that tickets are limited to 4 per person per booking.

Doors will open at 19:00 for a start time of 20:00. 
For full FAQs, please visit glasgowfilm.org/the-wizard-of-oz-faqs","Judy Garland, Ray Bolger, Jack Haley, Bert Lahr, Frank Morgan","Adventure","Adventure, Fantasy, Family","Victor Fleming","U","Threat","","https://www.youtube.com/watch?v=FfpF8UUVTeM","https://indy-systems.imgix.net/1d7h1176l6w7r96wywotywg6suk4"
"Tummy Monster","2024/03/02 20:30",85,"GFT 2","Rising Scottish star Lorn Macdonald (Beats) stars as a self-centred tattoo artist whose fixation on getting a selfie with a famous client embroils him in a bizarre and dangerous game.

Glasgow-based director Ciaran Lyons makes a virtue of his low budget in this blackly comic psychological thriller. Rising star Lorn Macdonald (Beats, The Strange Case of Dr Jekyll and Mr Hyde) stars as Tales, a brilliant but egotistical tattoo artist whose personal life is a hot mess. When an international popstar (Orlando Norman) and his minder (Michael Akinsilure) turn up on his doorstep late at night, it seems like a perfect opportunity to prove to everyone what a Big Deal he is. But when a selfie request doesn’t go as planned, he’s dragged into playing a bizarre game that could ruin his life for good in a directorial debut that bristles with dangerous energy.","Lorn Macdonald, Orlando Norman, Michael Akinsilure","Thriller","","Ciaran Lyons","N/C 15+","Psychological Horror, Drug Use, Strong Language","","https://www.youtube.com/watch?v=","https://indy-systems.imgix.net/lgsacy03ez7k1gvabnwapxlk5z7l"
"Tummy Monster","2024/03/03 15:45",85,"GFT 3","Rising Scottish star Lorn Macdonald (Beats) stars as a self-centred tattoo artist whose fixation on getting a selfie with a famous client embroils him in a bizarre and dangerous game.

Glasgow-based director Ciaran Lyons makes a virtue of his low budget in this blackly comic psychological thriller. Rising star Lorn Macdonald (Beats, The Strange Case of Dr Jekyll and Mr Hyde) stars as Tales, a brilliant but egotistical tattoo artist whose personal life is a hot mess. When an international popstar (Orlando Norman) and his minder (Michael Akinsilure) turn up on his doorstep late at night, it seems like a perfect opportunity to prove to everyone what a Big Deal he is. But when a selfie request doesn’t go as planned, he’s dragged into playing a bizarre game that could ruin his life for good in a directorial debut that bristles with dangerous energy.","Lorn Macdonald, Orlando Norman, Michael Akinsilure","Thriller","","Ciaran Lyons","N/C 15+","Psychological Horror, Drug Use, Strong Language","","https://www.youtube.com/watch?v=","https://indy-systems.imgix.net/lgsacy03ez7k1gvabnwapxlk5z7l"
